station_pincode,station_zone,city,state
488429,SOUTH,Mumbai,Andaman and Nicobar Islands
488431,NORTH,Delhi,Chandigarh
488433,CENTRAL,Bangalore,Dadra and Nagar Haveli and Daman and Diu
488435,EAST,Hyderabad,Lakshadweep
488437,WEST,Ahmedabad,Delhi
488439,SOUTH,Chennai,Puducherry
488441,NORTH,Kolkata,Ladakh
488443,CENTRAL,Surat,Jammu and Kashmir
488445,EAST,Pune,Maharashtra
488447,WEST,Jaipur,Delhi
488449,SOUTH,Lucknow,Karnataka
488451,NORTH,Kanpur,Andhra Pradesh
488453,CENTRAL,Nagpur,Arunachal Pradesh
488455,EAST,Indore,Assam
488457,WEST,Thane,Bihar
488459,SOUTH,Bhopal,Chhattisgarh
488461,NORTH,Visakhapatnam,Goa
488463,CENTRAL,Vadodara,Gujarat
488465,EAST,Firozabad,Haryana
488467,WEST,Ludhiana,Himachal Pradesh
488469,SOUTH,Rajkot,Jharkhand
488471,NORTH,Agra,Karnataka
488473,CENTRAL,Siliguri,Kerala
488475,EAST,Nashik,Madhya Pradesh
488477,WEST,Faridabad,Maharashtra
488479,SOUTH,Patna,Manipur
488481,NORTH,Meerut,Meghalaya
488483,CENTRAL,Kalyan-Dombivli,Mizoram
488485,EAST,Vasai-Virar,Nagaland
488487,WEST,Varanasi,Odisha
488489,SOUTH,Srinagar,Punjab
488491,NORTH,Dhanbad,Rajasthan
488493,CENTRAL,Jodhpur,Sikkim
488495,EAST,Amritsar,Tamil Nadu
488497,WEST,Raipur,Telangana
488499,SOUTH,Allahabad,Tripura
488501,NORTH,Coimbatore,Uttar Pradesh
488503,CENTRAL,Jabalpur,Uttarakhand
488505,EAST,Gwalior,West Bengal
488507,WEST,Vijayawada,Andaman and Nicobar Islands
488509,SOUTH,Madurai,Chandigarh
488511,NORTH,Guwahati,Dadra and Nagar Haveli and Daman and Diu
488513,CENTRAL,Chandigarh,Lakshadweep
488515,EAST,Hubli-Dharwad,Delhi
488517,WEST,Amroha,Puducherry
488519,SOUTH,Moradabad,Ladakh
488521,NORTH,Gurgaon,Jammu and Kashmir
488523,CENTRAL,Aligarh,Maharashtra
488525,EAST,Solapur,Delhi
488527,WEST,Ranchi,Karnataka
488529,SOUTH,Jalandhar,Andhra Pradesh
488531,NORTH,Tiruchirappalli,Arunachal Pradesh
488533,CENTRAL,Bhubaneswar,Assam
488535,EAST,Salem,Bihar
488537,WEST,Mysore,Chhattisgarh
488539,SOUTH,Thiruvananthapuram,Goa
488541,NORTH,Tiruppur,Gujarat
488543,CENTRAL,Gwalior,Haryana
488545,EAST,Chandrapur,Himachal Pradesh
488547,WEST,Mumbai,Jharkhand
488549,SOUTH,Delhi,Karnataka
488551,NORTH,Bangalore,Kerala
488553,CENTRAL,Hyderabad,Madhya Pradesh
488555,EAST,Ahmedabad,Maharashtra
488557,WEST,Chennai,Manipur
488559,SOUTH,Kolkata,Meghalaya
488561,NORTH,Surat,Mizoram
488563,CENTRAL,Pune,Nagaland
488565,EAST,Jaipur,Odisha
488567,WEST,Lucknow,Punjab
488569,SOUTH,Kanpur,Rajasthan
488571,NORTH,Nagpur,Sikkim
488573,CENTRAL,Indore,Tamil Nadu
488575,EAST,Thane,Telangana
488577,WEST,Bhopal,Tripura
488579,SOUTH,Visakhapatnam,Uttar Pradesh
488581,NORTH,Vadodara,Uttarakhand
488583,CENTRAL,Firozabad,West Bengal
488585,EAST,Ludhiana,Andaman and Nicobar Islands
488587,WEST,Rajkot,Chandigarh
488589,SOUTH,Agra,Dadra and Nagar Haveli and Daman and Diu
488591,NORTH,Siliguri,Lakshadweep
488593,CENTRAL,Nashik,Delhi
488595,EAST,Faridabad,Puducherry
488597,WEST,Patna,Ladakh
488599,SOUTH,Meerut,Jammu and Kashmir
488601,NORTH,Kalyan-Dombivli,Maharashtra
488603,CENTRAL,Vasai-Virar,Delhi
488605,EAST,Varanasi,Karnataka
488607,WEST,Srinagar,Andhra Pradesh
488609,SOUTH,Dhanbad,Arunachal Pradesh
488611,NORTH,Jodhpur,Assam
488613,CENTRAL,Amritsar,Bihar
488615,EAST,Raipur,Chhattisgarh
488617,WEST,Allahabad,Goa
488619,SOUTH,Coimbatore,Gujarat
488621,NORTH,Jabalpur,Haryana
488623,CENTRAL,Gwalior,Himachal Pradesh
488625,EAST,Vijayawada,Jharkhand
488627,WEST,Madurai,Karnataka
488629,SOUTH,Guwahati,Kerala
488631,NORTH,Chandigarh,Madhya Pradesh
488633,CENTRAL,Hubli-Dharwad,Maharashtra
488635,EAST,Amroha,Manipur
488637,WEST,Moradabad,Meghalaya
488639,SOUTH,Gurgaon,Mizoram
488641,NORTH,Aligarh,Nagaland
488643,CENTRAL,Solapur,Odisha
488645,EAST,Ranchi,Punjab
488647,WEST,Jalandhar,Rajasthan
488649,SOUTH,Tiruchirappalli,Sikkim
488651,NORTH,Bhubaneswar,Tamil Nadu
488653,CENTRAL,Salem,Telangana
488655,EAST,Mysore,Tripura
488657,WEST,Thiruvananthapuram,Uttar Pradesh
488659,SOUTH,Tiruppur,Uttarakhand
488661,NORTH,Gwalior,West Bengal
488663,CENTRAL,Chandrapur,Andaman and Nicobar Islands
488665,EAST,Mumbai,Chandigarh
488667,WEST,Delhi,Dadra and Nagar Haveli and Daman and Diu
488669,SOUTH,Bangalore,Lakshadweep
488671,NORTH,Hyderabad,Delhi
488673,CENTRAL,Ahmedabad,Puducherry
488675,EAST,Chennai,Ladakh
488677,WEST,Kolkata,Jammu and Kashmir
488679,SOUTH,Surat,Maharashtra
488681,NORTH,Pune,Delhi
488683,CENTRAL,Jaipur,Karnataka
488685,EAST,Lucknow,Andhra Pradesh
488687,WEST,Kanpur,Arunachal Pradesh
488689,SOUTH,Nagpur,Assam
488691,NORTH,Indore,Bihar
488693,CENTRAL,Thane,Chhattisgarh
488695,EAST,Bhopal,Goa
488697,WEST,Visakhapatnam,Gujarat
488699,SOUTH,Vadodara,Haryana
488701,NORTH,Firozabad,Himachal Pradesh
488703,CENTRAL,Ludhiana,Jharkhand
488705,EAST,Rajkot,Karnataka
488707,WEST,Agra,Kerala
488709,SOUTH,Siliguri,Madhya Pradesh
488711,NORTH,Nashik,Maharashtra
488713,CENTRAL,Faridabad,Manipur
488715,EAST,Patna,Meghalaya
488717,WEST,Meerut,Mizoram
488719,SOUTH,Kalyan-Dombivli,Nagaland
488721,NORTH,Vasai-Virar,Odisha
488723,CENTRAL,Varanasi,Punjab
488725,EAST,Srinagar,Rajasthan
488727,WEST,Dhanbad,Sikkim
488729,SOUTH,Jodhpur,Tamil Nadu
488731,NORTH,Amritsar,Telangana
488733,CENTRAL,Raipur,Tripura
488735,EAST,Allahabad,Uttar Pradesh
488737,WEST,Coimbatore,Uttarakhand
488739,SOUTH,Jabalpur,West Bengal
488741,NORTH,Gwalior,Andaman and Nicobar Islands
488743,CENTRAL,Vijayawada,Chandigarh
488745,EAST,Madurai,Dadra and Nagar Haveli and Daman and Diu
488747,WEST,Guwahati,Lakshadweep
488749,SOUTH,Chandigarh,Delhi
488751,NORTH,Hubli-Dharwad,Puducherry
488753,CENTRAL,Amroha,Ladakh
488755,EAST,Moradabad,Jammu and Kashmir
488757,WEST,Gurgaon,Maharashtra
488759,SOUTH,Aligarh,Delhi
488761,NORTH,Solapur,Karnataka
488763,CENTRAL,Ranchi,Andhra Pradesh
488765,EAST,Jalandhar,Arunachal Pradesh
488767,WEST,Tiruchirappalli,Assam
488769,SOUTH,Bhubaneswar,Bihar
488771,NORTH,Salem,Chhattisgarh
488773,CENTRAL,Mysore,Goa
488775,EAST,Thiruvananthapuram,Gujarat
488777,WEST,Tiruppur,Haryana
488779,SOUTH,Gwalior,Himachal Pradesh
488781,NORTH,Chandrapur,Jharkhand
488783,CENTRAL,Mumbai,Karnataka
488785,EAST,Delhi,Kerala
488787,WEST,Bangalore,Madhya Pradesh
488789,SOUTH,Hyderabad,Maharashtra
488791,NORTH,Ahmedabad,Manipur
488793,CENTRAL,Chennai,Meghalaya
488795,EAST,Kolkata,Mizoram
488797,WEST,Surat,Nagaland
488799,SOUTH,Pune,Odisha
488801,NORTH,Jaipur,Punjab
488803,CENTRAL,Lucknow,Rajasthan
488805,EAST,Kanpur,Sikkim
488807,WEST,Nagpur,Tamil Nadu
488809,SOUTH,Indore,Telangana
488811,NORTH,Thane,Tripura
488813,CENTRAL,Bhopal,Uttar Pradesh
488815,EAST,Visakhapatnam,Uttarakhand
488817,WEST,Vadodara,West Bengal
488819,SOUTH,Firozabad,Andaman and Nicobar Islands
488821,NORTH,Ludhiana,Chandigarh
488823,CENTRAL,Rajkot,Dadra and Nagar Haveli and Daman and Diu
488825,EAST,Agra,Lakshadweep
488827,WEST,Siliguri,Delhi
488829,SOUTH,Nashik,Puducherry
488831,NORTH,Faridabad,Ladakh
488833,CENTRAL,Patna,Jammu and Kashmir
488835,EAST,Meerut,Maharashtra
488837,WEST,Kalyan-Dombivli,Delhi
488839,SOUTH,Vasai-Virar,Karnataka
488841,NORTH,Varanasi,Andhra Pradesh
488843,CENTRAL,Srinagar,Arunachal Pradesh
488845,EAST,Dhanbad,Assam
488847,WEST,Jodhpur,Bihar
488849,SOUTH,Amritsar,Chhattisgarh
488851,NORTH,Raipur,Goa
488853,CENTRAL,Allahabad,Gujarat
488855,EAST,Coimbatore,Haryana
488857,WEST,Jabalpur,Himachal Pradesh
488859,SOUTH,Gwalior,Jharkhand
488861,NORTH,Vijayawada,Karnataka
488863,CENTRAL,Madurai,Kerala
488865,EAST,Guwahati,Madhya Pradesh
488867,WEST,Chandigarh,Maharashtra
488869,SOUTH,Hubli-Dharwad,Manipur
488871,NORTH,Amroha,Meghalaya
488873,CENTRAL,Moradabad,Mizoram
488875,EAST,Gurgaon,Nagaland
488877,WEST,Aligarh,Odisha
488879,SOUTH,Solapur,Punjab
488881,NORTH,Ranchi,Rajasthan
488883,CENTRAL,Jalandhar,Sikkim
488885,EAST,Tiruchirappalli,Tamil Nadu
488887,WEST,Bhubaneswar,Telangana
488889,SOUTH,Salem,Tripura
488891,NORTH,Mysore,Uttar Pradesh
488893,CENTRAL,Thiruvananthapuram,Uttarakhand
488895,EAST,Tiruppur,West Bengal
488897,WEST,Gwalior,Andaman and Nicobar Islands
488899,SOUTH,Chandrapur,Chandigarh
488901,NORTH,Mumbai,Dadra and Nagar Haveli and Daman and Diu
488903,CENTRAL,Delhi,Lakshadweep
488905,EAST,Bangalore,Delhi
488907,WEST,Hyderabad,Puducherry
488909,SOUTH,Ahmedabad,Ladakh
488911,NORTH,Chennai,Jammu and Kashmir
488913,CENTRAL,Kolkata,Maharashtra
488915,EAST,Surat,Delhi
488917,WEST,Pune,Karnataka
488919,SOUTH,Jaipur,Andhra Pradesh
488921,NORTH,Lucknow,Arunachal Pradesh
488923,CENTRAL,Kanpur,Assam
488925,EAST,Nagpur,Bihar
488927,WEST,Indore,Chhattisgarh
488929,SOUTH,Thane,Goa
488931,NORTH,Bhopal,Gujarat
488933,CENTRAL,Visakhapatnam,Haryana
488935,EAST,Vadodara,Himachal Pradesh
488937,WEST,Firozabad,Jharkhand
488939,SOUTH,Ludhiana,Karnataka
488941,NORTH,Rajkot,Kerala
488943,CENTRAL,Agra,Madhya Pradesh
488945,EAST,Siliguri,Maharashtra
488947,WEST,Nashik,Manipur
488949,SOUTH,Faridabad,Meghalaya
488951,NORTH,Patna,Mizoram
488953,CENTRAL,Meerut,Nagaland
488955,EAST,Kalyan-Dombivli,Odisha
488957,WEST,Vasai-Virar,Punjab
488959,SOUTH,Varanasi,Rajasthan
488961,NORTH,Srinagar,Sikkim
488963,CENTRAL,Dhanbad,Tamil Nadu
488965,EAST,Jodhpur,Telangana
488967,WEST,Amritsar,Tripura
488969,SOUTH,Raipur,Uttar Pradesh
488971,NORTH,Allahabad,Uttarakhand
488973,CENTRAL,Coimbatore,West Bengal
488975,EAST,Jabalpur,Andaman and Nicobar Islands
488977,WEST,Gwalior,Chandigarh
488979,SOUTH,Vijayawada,Dadra and Nagar Haveli and Daman and Diu
488981,NORTH,Madurai,Lakshadweep
488983,CENTRAL,Guwahati,Delhi
488985,EAST,Chandigarh,Puducherry
488987,WEST,Hubli-Dharwad,Ladakh
488989,SOUTH,Amroha,Jammu and Kashmir
488991,NORTH,Moradabad,Maharashtra
488993,CENTRAL,Gurgaon,Delhi
488995,EAST,Aligarh,Karnataka
488997,WEST,Solapur,Andhra Pradesh
488999,SOUTH,Ranchi,Arunachal Pradesh
489001,NORTH,Jalandhar,Assam
489003,CENTRAL,Tiruchirappalli,Bihar
489005,EAST,Bhubaneswar,Chhattisgarh
489007,WEST,Salem,Goa
489009,SOUTH,Mysore,Gujarat
489011,NORTH,Thiruvananthapuram,Haryana
489013,CENTRAL,Tiruppur,Himachal Pradesh
489015,EAST,Gwalior,Jharkhand
489017,WEST,Chandrapur,Karnataka
489019,SOUTH,Mumbai,Kerala
489021,NORTH,Delhi,Madhya Pradesh
489023,CENTRAL,Bangalore,Maharashtra
489025,EAST,Hyderabad,Manipur
489027,WEST,Ahmedabad,Meghalaya
489029,SOUTH,Chennai,Mizoram
489031,NORTH,Kolkata,Nagaland
489033,CENTRAL,Surat,Odisha
489035,EAST,Pune,Punjab
489037,WEST,Jaipur,Rajasthan
489039,SOUTH,Lucknow,Sikkim
489041,NORTH,Kanpur,Tamil Nadu
489043,CENTRAL,Nagpur,Telangana
489045,EAST,Indore,Tripura
489047,WEST,Thane,Uttar Pradesh
489049,SOUTH,Bhopal,Uttarakhand
489051,NORTH,Visakhapatnam,West Bengal
489053,CENTRAL,Vadodara,Andaman and Nicobar Islands
489055,EAST,Firozabad,Chandigarh
489057,WEST,Ludhiana,Dadra and Nagar Haveli and Daman and Diu
489059,SOUTH,Rajkot,Lakshadweep
489061,NORTH,Agra,Delhi
489063,CENTRAL,Siliguri,Puducherry
489065,EAST,Nashik,Ladakh
489067,WEST,Faridabad,Jammu and Kashmir
489069,SOUTH,Patna,Maharashtra
489071,NORTH,Meerut,Delhi
489073,CENTRAL,Kalyan-Dombivli,Karnataka
489075,EAST,Vasai-Virar,Andhra Pradesh
489077,WEST,Varanasi,Arunachal Pradesh
489079,SOUTH,Srinagar,Assam
489081,NORTH,Dhanbad,Bihar
489083,CENTRAL,Jodhpur,Chhattisgarh
489085,EAST,Amritsar,Goa
489087,WEST,Raipur,Gujarat
489089,SOUTH,Allahabad,Haryana
489091,NORTH,Coimbatore,Himachal Pradesh
489093,CENTRAL,Jabalpur,Jharkhand
489095,EAST,Gwalior,Karnataka
489097,WEST,Vijayawada,Kerala
489099,SOUTH,Madurai,Madhya Pradesh
489101,NORTH,Guwahati,Maharashtra
489103,CENTRAL,Chandigarh,Manipur
489105,EAST,Hubli-Dharwad,Meghalaya
489107,WEST,Amroha,Mizoram
489109,SOUTH,Moradabad,Nagaland
489111,NORTH,Gurgaon,Odisha
489113,CENTRAL,Aligarh,Punjab
489115,EAST,Solapur,Rajasthan
489117,WEST,Ranchi,Sikkim
489119,SOUTH,Jalandhar,Tamil Nadu
489121,NORTH,Tiruchirappalli,Telangana
489123,CENTRAL,Bhubaneswar,Tripura
489125,EAST,Salem,Uttar Pradesh
489127,WEST,Mysore,Uttarakhand
489129,SOUTH,Thiruvananthapuram,West Bengal
489131,NORTH,Tiruppur,Andaman and Nicobar Islands
489133,CENTRAL,Gwalior,Chandigarh
489135,EAST,Chandrapur,Dadra and Nagar Haveli and Daman and Diu
489137,WEST,Mumbai,Lakshadweep
489139,SOUTH,Delhi,Delhi
489141,NORTH,Bangalore,Puducherry
489143,CENTRAL,Hyderabad,Ladakh
489145,EAST,Ahmedabad,Jammu and Kashmir
489147,WEST,Chennai,Maharashtra
489149,SOUTH,Kolkata,Delhi
489151,NORTH,Surat,Karnataka
489153,CENTRAL,Pune,Andhra Pradesh
489155,EAST,Jaipur,Arunachal Pradesh
489157,WEST,Lucknow,Assam
489159,SOUTH,Kanpur,Bihar
489161,NORTH,Nagpur,Chhattisgarh
489163,CENTRAL,Indore,Goa
489165,EAST,Thane,Gujarat
489167,WEST,Bhopal,Haryana
489169,SOUTH,Visakhapatnam,Himachal Pradesh
489171,NORTH,Vadodara,Jharkhand
489173,CENTRAL,Firozabad,Karnataka
489175,EAST,Ludhiana,Kerala
489177,WEST,Rajkot,Madhya Pradesh
489179,SOUTH,Agra,Maharashtra
489181,NORTH,Siliguri,Manipur
489183,CENTRAL,Nashik,Meghalaya
489185,EAST,Faridabad,Mizoram
489187,WEST,Patna,Nagaland
489189,SOUTH,Meerut,Odisha
489191,NORTH,Kalyan-Dombivli,Punjab
489193,CENTRAL,Vasai-Virar,Rajasthan
489195,EAST,Varanasi,Sikkim
489197,WEST,Srinagar,Tamil Nadu
489199,SOUTH,Dhanbad,Telangana
489201,NORTH,Jodhpur,Tripura
489203,CENTRAL,Amritsar,Uttar Pradesh
489205,EAST,Raipur,Uttarakhand
489207,WEST,Allahabad,West Bengal
489209,SOUTH,Coimbatore,Andaman and Nicobar Islands
489211,NORTH,Jabalpur,Chandigarh
489213,CENTRAL,Gwalior,Dadra and Nagar Haveli and Daman and Diu
489215,EAST,Vijayawada,Lakshadweep
489217,WEST,Madurai,Delhi
489219,SOUTH,Guwahati,Puducherry
489221,NORTH,Chandigarh,Ladakh
489223,CENTRAL,Hubli-Dharwad,Jammu and Kashmir
489225,EAST,Amroha,Maharashtra
489227,WEST,Moradabad,Delhi
489229,SOUTH,Gurgaon,Karnataka
489231,NORTH,Aligarh,Andhra Pradesh
489233,CENTRAL,Solapur,Arunachal Pradesh
489235,EAST,Ranchi,Assam
489237,WEST,Jalandhar,Bihar
489239,SOUTH,Tiruchirappalli,Chhattisgarh
489241,NORTH,Bhubaneswar,Goa
489243,CENTRAL,Salem,Gujarat
489245,EAST,Mysore,Haryana
489247,WEST,Thiruvananthapuram,Himachal Pradesh
489249,SOUTH,Tiruppur,Jharkhand
489251,NORTH,Gwalior,Karnataka
489253,CENTRAL,Chandrapur,Kerala
489255,EAST,Mumbai,Madhya Pradesh
489257,WEST,Delhi,Maharashtra
489259,SOUTH,Bangalore,Manipur
489261,NORTH,Hyderabad,Meghalaya
489263,CENTRAL,Ahmedabad,Mizoram
489265,EAST,Chennai,Nagaland
489267,WEST,Kolkata,Odisha
489269,SOUTH,Surat,Punjab
489271,NORTH,Pune,Rajasthan
489273,CENTRAL,Jaipur,Sikkim
489275,EAST,Lucknow,Tamil Nadu
489277,WEST,Kanpur,Telangana
489279,SOUTH,Nagpur,Tripura
489281,NORTH,Indore,Uttar Pradesh
489283,CENTRAL,Thane,Uttarakhand
489285,EAST,Bhopal,West Bengal
489287,WEST,Visakhapatnam,Andaman and Nicobar Islands
489289,SOUTH,Vadodara,Chandigarh
489291,NORTH,Firozabad,Dadra and Nagar Haveli and Daman and Diu
489293,CENTRAL,Ludhiana,Lakshadweep
489295,EAST,Rajkot,Delhi
489297,WEST,Agra,Puducherry
489299,SOUTH,Siliguri,Ladakh
489301,NORTH,Nashik,Jammu and Kashmir
489303,CENTRAL,Faridabad,Maharashtra
489305,EAST,Patna,Delhi
489307,WEST,Meerut,Karnataka
489309,SOUTH,Kalyan-Dombivli,Andhra Pradesh
489311,NORTH,Vasai-Virar,Arunachal Pradesh
489313,CENTRAL,Varanasi,Assam
489315,EAST,Srinagar,Bihar
489317,WEST,Dhanbad,Chhattisgarh
489319,SOUTH,Jodhpur,Goa
489321,NORTH,Amritsar,Gujarat
489323,CENTRAL,Raipur,Haryana
489325,EAST,Allahabad,Himachal Pradesh
489327,WEST,Coimbatore,Jharkhand
489329,SOUTH,Jabalpur,Karnataka
489331,NORTH,Gwalior,Kerala
489333,CENTRAL,Vijayawada,Madhya Pradesh
489335,EAST,Madurai,Maharashtra
489337,WEST,Guwahati,Manipur
489339,SOUTH,Chandigarh,Meghalaya
489341,NORTH,Hubli-Dharwad,Mizoram
489343,CENTRAL,Amroha,Nagaland
489345,EAST,Moradabad,Odisha
489347,WEST,Gurgaon,Punjab
489349,SOUTH,Aligarh,Rajasthan
489351,NORTH,Solapur,Sikkim
489353,CENTRAL,Ranchi,Tamil Nadu
489355,EAST,Jalandhar,Telangana
489357,WEST,Tiruchirappalli,Tripura
489359,SOUTH,Bhubaneswar,Uttar Pradesh
489361,NORTH,Salem,Uttarakhand
489363,CENTRAL,Mysore,West Bengal
489365,EAST,Thiruvananthapuram,Andaman and Nicobar Islands
489367,WEST,Tiruppur,Chandigarh
489369,SOUTH,Gwalior,Dadra and Nagar Haveli and Daman and Diu
489371,NORTH,Chandrapur,Lakshadweep
489373,CENTRAL,Mumbai,Delhi
489375,EAST,Delhi,Puducherry
489377,WEST,Bangalore,Ladakh
489379,SOUTH,Hyderabad,Jammu and Kashmir
489381,NORTH,Ahmedabad,Maharashtra
489383,CENTRAL,Chennai,Delhi
489385,EAST,Kolkata,Karnataka
489387,WEST,Surat,Andhra Pradesh
489389,SOUTH,Pune,Arunachal Pradesh
489391,NORTH,Jaipur,Assam
489393,CENTRAL,Lucknow,Bihar
489395,EAST,Kanpur,Chhattisgarh
489397,WEST,Nagpur,Goa
489399,SOUTH,Indore,Gujarat
489401,NORTH,Thane,Haryana
489403,CENTRAL,Bhopal,Himachal Pradesh
489405,EAST,Visakhapatnam,Jharkhand
489407,WEST,Vadodara,Karnataka
489409,SOUTH,Firozabad,Kerala
489411,NORTH,Ludhiana,Madhya Pradesh
489413,CENTRAL,Rajkot,Maharashtra
489415,EAST,Agra,Manipur
489417,WEST,Siliguri,Meghalaya
489419,SOUTH,Nashik,Mizoram
489421,NORTH,Faridabad,Nagaland
489423,CENTRAL,Patna,Odisha
489425,EAST,Meerut,Punjab
489427,WEST,Kalyan-Dombivli,Rajasthan
489429,SOUTH,Vasai-Virar,Sikkim
489431,NORTH,Varanasi,Tamil Nadu
489433,CENTRAL,Srinagar,Telangana
489435,EAST,Dhanbad,Tripura
489437,WEST,Jodhpur,Uttar Pradesh
489439,SOUTH,Amritsar,Uttarakhand
489441,NORTH,Raipur,West Bengal
489443,CENTRAL,Allahabad,Andaman and Nicobar Islands
489445,EAST,Coimbatore,Chandigarh
489447,WEST,Jabalpur,Dadra and Nagar Haveli and Daman and Diu
489449,SOUTH,Gwalior,Lakshadweep
489451,NORTH,Vijayawada,Delhi
489453,CENTRAL,Madurai,Puducherry
489455,EAST,Guwahati,Ladakh
489457,WEST,Chandigarh,Jammu and Kashmir
489459,SOUTH,Hubli-Dharwad,Maharashtra
489461,NORTH,Amroha,Delhi
489463,CENTRAL,Moradabad,Karnataka
489465,EAST,Gurgaon,Andhra Pradesh
489467,WEST,Aligarh,Arunachal Pradesh
489469,SOUTH,Solapur,Assam
489471,NORTH,Ranchi,Bihar
489473,CENTRAL,Jalandhar,Chhattisgarh
489475,EAST,Tiruchirappalli,Goa
489477,WEST,Bhubaneswar,Gujarat
489479,SOUTH,Salem,Haryana
489481,NORTH,Mysore,Himachal Pradesh
489483,CENTRAL,Thiruvananthapuram,Jharkhand
489485,EAST,Tiruppur,Karnataka
489487,WEST,Gwalior,Kerala
489489,SOUTH,Chandrapur,Madhya Pradesh
489491,NORTH,Mumbai,Maharashtra
489493,CENTRAL,Delhi,Manipur
489495,EAST,Bangalore,Meghalaya
489497,WEST,Hyderabad,Mizoram
489499,SOUTH,Ahmedabad,Nagaland
489501,NORTH,Chennai,Odisha
489503,CENTRAL,Kolkata,Punjab
489505,EAST,Surat,Rajasthan
489507,WEST,Pune,Sikkim
489509,SOUTH,Jaipur,Tamil Nadu
489511,NORTH,Lucknow,Telangana
489513,CENTRAL,Kanpur,Tripura
489515,EAST,Nagpur,Uttar Pradesh
489517,WEST,Indore,Uttarakhand
489519,SOUTH,Thane,West Bengal
489521,NORTH,Bhopal,Andaman and Nicobar Islands
489523,CENTRAL,Visakhapatnam,Chandigarh
489525,EAST,Vadodara,Dadra and Nagar Haveli and Daman and Diu
489527,WEST,Firozabad,Lakshadweep
489529,SOUTH,Ludhiana,Delhi
489531,NORTH,Rajkot,Puducherry
489533,CENTRAL,Agra,Ladakh
489535,EAST,Siliguri,Jammu and Kashmir
489537,WEST,Nashik,Maharashtra
489539,SOUTH,Faridabad,Delhi
489541,NORTH,Patna,Karnataka
489543,CENTRAL,Meerut,Andhra Pradesh
489545,EAST,Kalyan-Dombivli,Arunachal Pradesh
489547,WEST,Vasai-Virar,Assam
489549,SOUTH,Varanasi,Bihar
489551,NORTH,Srinagar,Chhattisgarh
489553,CENTRAL,Dhanbad,Goa
489555,EAST,Jodhpur,Gujarat
489557,WEST,Amritsar,Haryana
489559,SOUTH,Raipur,Himachal Pradesh
489561,NORTH,Allahabad,Jharkhand
489563,CENTRAL,Coimbatore,Karnataka
489565,EAST,Jabalpur,Kerala
489567,WEST,Gwalior,Madhya Pradesh
489569,SOUTH,Vijayawada,Maharashtra
489571,NORTH,Madurai,Manipur
489573,CENTRAL,Guwahati,Meghalaya
489575,EAST,Chandigarh,Mizoram
489577,WEST,Hubli-Dharwad,Nagaland
489579,SOUTH,Amroha,Odisha
489581,NORTH,Moradabad,Punjab
489583,CENTRAL,Gurgaon,Rajasthan
489585,EAST,Aligarh,Sikkim
489587,WEST,Solapur,Tamil Nadu
489589,SOUTH,Ranchi,Telangana
489591,NORTH,Jalandhar,Tripura
489593,CENTRAL,Tiruchirappalli,Uttar Pradesh
489595,EAST,Bhubaneswar,Uttarakhand
489597,WEST,Salem,West Bengal
489599,SOUTH,Mysore,Andaman and Nicobar Islands
489601,NORTH,Thiruvananthapuram,Chandigarh
489603,CENTRAL,Tiruppur,Dadra and Nagar Haveli and Daman and Diu
489605,EAST,Gwalior,Lakshadweep
489607,WEST,Chandrapur,Delhi
489609,SOUTH,Mumbai,Puducherry
489611,NORTH,Delhi,Ladakh
489613,CENTRAL,Bangalore,Jammu and Kashmir
489615,EAST,Hyderabad,Maharashtra
489617,WEST,Ahmedabad,Delhi
489619,SOUTH,Chennai,Karnataka
489621,NORTH,Kolkata,Andhra Pradesh
489623,CENTRAL,Surat,Arunachal Pradesh
489625,EAST,Pune,Assam
489627,WEST,Jaipur,Bihar
489629,SOUTH,Lucknow,Chhattisgarh
489631,NORTH,Kanpur,Goa
489633,CENTRAL,Nagpur,Gujarat
489635,EAST,Indore,Haryana
489637,WEST,Thane,Himachal Pradesh
489639,SOUTH,Bhopal,Jharkhand
489641,NORTH,Visakhapatnam,Karnataka
489643,CENTRAL,Vadodara,Kerala
489645,EAST,Firozabad,Madhya Pradesh
489647,WEST,Ludhiana,Maharashtra
489649,SOUTH,Rajkot,Manipur
489651,NORTH,Agra,Meghalaya
489653,CENTRAL,Siliguri,Mizoram
489655,EAST,Nashik,Nagaland
489657,WEST,Faridabad,Odisha
489659,SOUTH,Patna,Punjab
489661,NORTH,Meerut,Rajasthan
489663,CENTRAL,Kalyan-Dombivli,Sikkim
489665,EAST,Vasai-Virar,Tamil Nadu
489667,WEST,Varanasi,Telangana
489669,SOUTH,Srinagar,Tripura
489671,NORTH,Dhanbad,Uttar Pradesh
489673,CENTRAL,Jodhpur,Uttarakhand
489675,EAST,Amritsar,West Bengal
489677,WEST,Raipur,Andaman and Nicobar Islands
489679,SOUTH,Allahabad,Chandigarh
489681,NORTH,Coimbatore,Dadra and Nagar Haveli and Daman and Diu
489683,CENTRAL,Jabalpur,Lakshadweep
489685,EAST,Gwalior,Delhi
489687,WEST,Vijayawada,Puducherry
489689,SOUTH,Madurai,Ladakh
489691,NORTH,Guwahati,Jammu and Kashmir
489693,CENTRAL,Chandigarh,Maharashtra
489695,EAST,Hubli-Dharwad,Delhi
489697,WEST,Amroha,Karnataka
489699,SOUTH,Moradabad,Andhra Pradesh
489701,NORTH,Gurgaon,Arunachal Pradesh
489703,CENTRAL,Aligarh,Assam
