max_case_type,min_cases_type,no_of_cases,avg_solving_day
robbery,Murder,2879,4
dowry demands,theft,2881,11
robbery,cybercrime,2883,5
unfair dismissal,sedition,2885,6
theft,Property dispute,2887,14
cybercrime,marriage affairs,2889,12
sedition,Divorce,2891,11
Property dispute,Fraud,2893,9
Fraud,riots,2895,7
riots,claims of negligence,2897,8
marriage affairs,dowry demands,2899,12
Divorce,robbery,2901,14
claims of negligence,unfair dismissal,2903,9
appeal against HR,discrimination,2905,11
Workplace harassment,appeal against HR,2907,3
Murder,Workplace harassment,2909,9
robbery,Murder,2911,3
dowry demands,theft,2913,15
robbery,cybercrime,2915,13
unfair dismissal,sedition,2917,8
theft,Property dispute,2919,3
cybercrime,marriage affairs,2921,5
sedition,Divorce,2923,7
Property dispute,Fraud,2925,4
Fraud,riots,2927,15
riots,claims of negligence,2929,7
marriage affairs,dowry demands,2931,11
Divorce,robbery,2933,5
claims of negligence,unfair dismissal,2935,10
appeal against HR,discrimination,2937,7
Workplace harassment,appeal against HR,2939,12
Murder,Workplace harassment,2941,11
robbery,Murder,2943,4
dowry demands,theft,2945,5
robbery,cybercrime,2947,8
unfair dismissal,sedition,2949,6
theft,Property dispute,2951,15
cybercrime,marriage affairs,2953,8
sedition,Divorce,2955,10
Property dispute,Fraud,2957,12
Fraud,riots,2959,5
riots,claims of negligence,2961,9
marriage affairs,dowry demands,2963,3
Divorce,robbery,2965,8
claims of negligence,unfair dismissal,2967,7
appeal against HR,discrimination,2969,3
Workplace harassment,appeal against HR,2971,14
Murder,Workplace harassment,2973,4
robbery,Murder,2975,9
dowry demands,theft,2977,11
robbery,cybercrime,2979,15
unfair dismissal,sedition,2981,5
theft,Property dispute,2983,14
cybercrime,marriage affairs,2985,11
sedition,Divorce,2987,15
Property dispute,Fraud,2989,9
Fraud,riots,2991,14
riots,claims of negligence,2993,15
marriage affairs,dowry demands,2995,4
Divorce,robbery,2997,7
claims of negligence,unfair dismissal,2999,3
appeal against HR,discrimination,3001,10
Workplace harassment,appeal against HR,3003,8
Murder,Workplace harassment,3005,5
robbery,Murder,3007,12
dowry demands,theft,3009,14
robbery,cybercrime,3011,12
unfair dismissal,sedition,3013,4
theft,Property dispute,3015,4
cybercrime,marriage affairs,3017,8
sedition,Divorce,3019,8
Property dispute,Fraud,3021,14
Fraud,riots,3023,12
riots,claims of negligence,3025,5
marriage affairs,dowry demands,3027,9
Divorce,robbery,3029,11
claims of negligence,unfair dismissal,3031,15
appeal against HR,discrimination,3033,4
Workplace harassment,appeal against HR,3035,8
Murder,Workplace harassment,3037,3
robbery,Murder,3039,11
dowry demands,theft,3041,11
robbery,cybercrime,3043,3
unfair dismissal,sedition,3045,9
theft,Property dispute,3047,5
cybercrime,marriage affairs,3049,14
sedition,Divorce,3051,15
Property dispute,Fraud,3053,3
Fraud,riots,3055,3
riots,claims of negligence,3057,9
marriage affairs,dowry demands,3059,6
Divorce,robbery,3061,12
claims of negligence,unfair dismissal,3063,15
appeal against HR,discrimination,3065,10
Workplace harassment,appeal against HR,3067,8
Murder,Workplace harassment,3069,14
robbery,Murder,3071,12
dowry demands,theft,3073,12
robbery,cybercrime,3075,6
unfair dismissal,sedition,3077,14
theft,Property dispute,3079,5
cybercrime,marriage affairs,3081,14
sedition,Divorce,3083,13
Property dispute,Fraud,3085,7
Fraud,riots,3087,12
riots,claims of negligence,3089,11
marriage affairs,dowry demands,3091,4
Divorce,robbery,3093,4
claims of negligence,unfair dismissal,3095,4
appeal against HR,discrimination,3097,14
Workplace harassment,appeal against HR,3099,11
Murder,Workplace harassment,3101,4
robbery,Murder,3103,8
dowry demands,theft,3105,4
robbery,cybercrime,3107,10
unfair dismissal,sedition,3109,13
theft,Property dispute,3111,5
cybercrime,marriage affairs,3113,5
sedition,Divorce,3115,13
Property dispute,Fraud,3117,15
Fraud,riots,3119,3
riots,claims of negligence,3121,5
marriage affairs,dowry demands,3123,9
Divorce,robbery,3125,5
claims of negligence,unfair dismissal,3127,11
appeal against HR,discrimination,3129,3
Workplace harassment,appeal against HR,3131,13
Murder,Workplace harassment,3133,12
robbery,Murder,3135,14
dowry demands,theft,3137,8
robbery,cybercrime,3139,3
unfair dismissal,sedition,3141,7
theft,Property dispute,3143,4
cybercrime,marriage affairs,3145,8
sedition,Divorce,3147,9
Property dispute,Fraud,3149,15
Fraud,riots,3151,9
riots,claims of negligence,3153,6
marriage affairs,dowry demands,3155,8
Divorce,robbery,3157,9
claims of negligence,unfair dismissal,3159,7
appeal against HR,discrimination,3161,9
Workplace harassment,appeal against HR,3163,8
Murder,Workplace harassment,3165,14
robbery,Murder,3167,3
dowry demands,theft,3169,15
robbery,cybercrime,3171,4
unfair dismissal,sedition,3173,3
theft,Property dispute,3175,6
cybercrime,marriage affairs,3177,7
sedition,Divorce,3179,11
Property dispute,Fraud,3181,3
Fraud,riots,3183,15
riots,claims of negligence,3185,8
marriage affairs,dowry demands,3187,10
Divorce,robbery,3189,14
claims of negligence,unfair dismissal,3191,7
appeal against HR,discrimination,3193,6
Workplace harassment,appeal against HR,3195,12
Murder,Workplace harassment,3197,10
robbery,Murder,3199,9
dowry demands,theft,3201,10
robbery,cybercrime,3203,7
unfair dismissal,sedition,3205,10
theft,Property dispute,3207,12
cybercrime,marriage affairs,3209,5
sedition,Divorce,3211,13
Property dispute,Fraud,3213,5
Fraud,riots,3215,13
riots,claims of negligence,3217,14
marriage affairs,dowry demands,3219,4
Divorce,robbery,3221,8
claims of negligence,unfair dismissal,3223,11
appeal against HR,discrimination,3225,15
Workplace harassment,appeal against HR,3227,4
Murder,Workplace harassment,3229,5
robbery,Murder,3231,3
dowry demands,theft,3233,9
robbery,cybercrime,3235,4
unfair dismissal,sedition,3237,12
theft,Property dispute,3239,6
cybercrime,marriage affairs,3241,15
sedition,Divorce,3243,8
Property dispute,Fraud,3245,12
Fraud,riots,3247,6
riots,claims of negligence,3249,11
marriage affairs,dowry demands,3251,9
Divorce,robbery,3253,14
claims of negligence,unfair dismissal,3255,6
appeal against HR,discrimination,3257,10
Workplace harassment,appeal against HR,3259,14
Murder,Workplace harassment,3261,12
robbery,Murder,3263,12
dowry demands,theft,3265,7
robbery,cybercrime,3267,10
unfair dismissal,sedition,3269,13
theft,Property dispute,3271,13
cybercrime,marriage affairs,3273,15
sedition,Divorce,3275,6
Property dispute,Fraud,3277,7
Fraud,riots,3279,10
riots,claims of negligence,3281,8
marriage affairs,dowry demands,3283,3
Divorce,robbery,3285,12
claims of negligence,unfair dismissal,3287,9
appeal against HR,discrimination,3289,12
Workplace harassment,appeal against HR,3291,7
Murder,Workplace harassment,3293,15
robbery,Murder,3295,6
dowry demands,theft,3297,11
robbery,cybercrime,3299,5
unfair dismissal,sedition,3301,14
theft,Property dispute,3303,5
cybercrime,marriage affairs,3305,10
sedition,Divorce,3307,5
Property dispute,Fraud,3309,12
Fraud,riots,3311,11
riots,claims of negligence,3313,4
marriage affairs,dowry demands,3315,10
Divorce,robbery,3317,5
claims of negligence,unfair dismissal,3319,11
appeal against HR,discrimination,3321,4
Workplace harassment,appeal against HR,3323,12
Murder,Workplace harassment,3325,13
robbery,Murder,3327,12
dowry demands,theft,3329,8
robbery,cybercrime,3331,9
unfair dismissal,sedition,3333,3
theft,Property dispute,3335,9
cybercrime,marriage affairs,3337,7
sedition,Divorce,3339,10
Property dispute,Fraud,3341,14
Fraud,riots,3343,3
riots,claims of negligence,3345,13
marriage affairs,dowry demands,3347,5
Divorce,robbery,3349,13
claims of negligence,unfair dismissal,3351,7
appeal against HR,discrimination,3353,8
Workplace harassment,appeal against HR,3355,14
Murder,Workplace harassment,3357,9
robbery,Murder,3359,9
dowry demands,theft,3361,7
robbery,cybercrime,3363,7
unfair dismissal,sedition,3365,7
theft,Property dispute,3367,5
cybercrime,marriage affairs,3369,7
sedition,Divorce,3371,3
Property dispute,Fraud,3373,15
Fraud,riots,3375,15
riots,claims of negligence,3377,9
marriage affairs,dowry demands,3379,9
Divorce,robbery,3381,15
claims of negligence,unfair dismissal,3383,6
appeal against HR,discrimination,3385,3
Workplace harassment,appeal against HR,3387,10
Murder,Workplace harassment,3389,8
robbery,Murder,3391,13
dowry demands,theft,3393,6
robbery,cybercrime,3395,6
unfair dismissal,sedition,3397,9
theft,Property dispute,3399,3
cybercrime,marriage affairs,3401,9
sedition,Divorce,3403,9
Property dispute,Fraud,3405,14
Fraud,riots,3407,8
riots,claims of negligence,3409,6
marriage affairs,dowry demands,3411,11
Divorce,robbery,3413,6
claims of negligence,unfair dismissal,3415,7
appeal against HR,discrimination,3417,5
Workplace harassment,appeal against HR,3419,11
Murder,Workplace harassment,3421,8
robbery,Murder,3423,15
dowry demands,theft,3425,9
robbery,cybercrime,3427,5
unfair dismissal,sedition,3429,10
theft,Property dispute,3431,10
cybercrime,marriage affairs,3433,7
sedition,Divorce,3435,14
Property dispute,Fraud,3437,11
Fraud,riots,3439,3
riots,claims of negligence,3441,14
marriage affairs,dowry demands,3443,4
Divorce,robbery,3445,4
claims of negligence,unfair dismissal,3447,7
appeal against HR,discrimination,3449,13
Workplace harassment,appeal against HR,3451,13
Murder,Workplace harassment,3453,13
robbery,Murder,3455,5
dowry demands,theft,3457,9
robbery,cybercrime,3459,5
unfair dismissal,sedition,3461,9
theft,Property dispute,3463,7
cybercrime,marriage affairs,3465,9
sedition,Divorce,3467,7
Property dispute,Fraud,3469,3
Fraud,riots,3471,15
riots,claims of negligence,3473,9
marriage affairs,dowry demands,3475,4
Divorce,robbery,3477,8
claims of negligence,unfair dismissal,3479,9
appeal against HR,discrimination,3481,14
Workplace harassment,appeal against HR,3483,9
Murder,Workplace harassment,3485,3
robbery,Murder,3487,4
dowry demands,theft,3489,13
robbery,cybercrime,3491,11
unfair dismissal,sedition,3493,13
theft,Property dispute,3495,14
cybercrime,marriage affairs,3497,9
sedition,Divorce,3499,3
Property dispute,Fraud,3501,8
Fraud,riots,3503,15
riots,claims of negligence,3505,10
marriage affairs,dowry demands,3507,8
Divorce,robbery,3509,7
claims of negligence,unfair dismissal,3511,10
appeal against HR,discrimination,3513,8
Workplace harassment,appeal against HR,3515,12
Murder,Workplace harassment,3517,10
robbery,Murder,3519,3
dowry demands,theft,3521,6
robbery,cybercrime,3523,8
unfair dismissal,sedition,3525,8
theft,Property dispute,3527,12
cybercrime,marriage affairs,3529,11
sedition,Divorce,3531,5
Property dispute,Fraud,3533,15
Fraud,riots,3535,15
riots,claims of negligence,3537,14
marriage affairs,dowry demands,3539,8
Divorce,robbery,3541,8
claims of negligence,unfair dismissal,3543,12
appeal against HR,discrimination,3545,6
Workplace harassment,appeal against HR,3547,14
Murder,Workplace harassment,3549,4
robbery,Murder,3551,13
dowry demands,theft,3553,12
robbery,cybercrime,3555,11
unfair dismissal,sedition,3557,15
theft,Property dispute,3559,15
cybercrime,marriage affairs,3561,10
sedition,Divorce,3563,10
Property dispute,Fraud,3565,7
Fraud,riots,3567,9
riots,claims of negligence,3569,11
marriage affairs,dowry demands,3571,15
Divorce,robbery,3573,13
claims of negligence,unfair dismissal,3575,15
appeal against HR,discrimination,3577,13
Workplace harassment,appeal against HR,3579,5
Murder,Workplace harassment,3581,8
robbery,Murder,3583,7
dowry demands,theft,3585,12
robbery,cybercrime,3587,10
unfair dismissal,sedition,3589,3
theft,Property dispute,3591,6
cybercrime,marriage affairs,3593,7
sedition,Divorce,3595,4
Property dispute,Fraud,3597,3
Fraud,riots,3599,7
riots,claims of negligence,3601,3
marriage affairs,dowry demands,3603,5
Divorce,robbery,3605,13
claims of negligence,unfair dismissal,3607,9
appeal against HR,discrimination,3609,4
Workplace harassment,appeal against HR,3611,15
Murder,Workplace harassment,3613,8
robbery,Murder,3615,9
dowry demands,theft,3617,10
robbery,cybercrime,3619,4
unfair dismissal,sedition,3621,7
theft,Property dispute,3623,9
cybercrime,marriage affairs,3625,8
sedition,Divorce,3627,11
Property dispute,Fraud,3629,11
Fraud,riots,3631,5
riots,claims of negligence,3633,13
marriage affairs,dowry demands,3635,10
Divorce,robbery,3637,5
claims of negligence,unfair dismissal,3639,11
appeal against HR,discrimination,3641,4
Workplace harassment,appeal against HR,3643,5
Murder,Workplace harassment,3645,14
robbery,Murder,3647,3
dowry demands,theft,3649,11
robbery,cybercrime,3651,4
unfair dismissal,sedition,3653,10
theft,Property dispute,3655,15
cybercrime,marriage affairs,3657,6
sedition,Divorce,3659,6
Property dispute,Fraud,3661,11
Fraud,riots,3663,15
riots,claims of negligence,3665,13
marriage affairs,dowry demands,3667,9
Divorce,robbery,3669,7
claims of negligence,unfair dismissal,3671,6
appeal against HR,discrimination,3673,6
Workplace harassment,appeal against HR,3675,8
Murder,Workplace harassment,3677,15
robbery,Murder,3679,8
dowry demands,theft,3681,8
robbery,cybercrime,3683,8
unfair dismissal,sedition,3685,11
theft,Property dispute,3687,12
cybercrime,marriage affairs,3689,4
sedition,Divorce,3691,8
Property dispute,Fraud,3693,14
Fraud,riots,3695,12
riots,claims of negligence,3697,10
marriage affairs,dowry demands,3699,3
Divorce,robbery,3701,6
claims of negligence,unfair dismissal,3703,8
appeal against HR,discrimination,3705,8
Workplace harassment,appeal against HR,3707,11
Murder,Workplace harassment,3709,10
robbery,Murder,3711,11
dowry demands,theft,3713,3
robbery,cybercrime,3715,9
unfair dismissal,sedition,3717,14
theft,Property dispute,3719,9
cybercrime,marriage affairs,3721,7
sedition,Divorce,3723,5
Property dispute,Fraud,3725,14
Fraud,riots,3727,12
riots,claims of negligence,3729,3
marriage affairs,dowry demands,3731,14
Divorce,robbery,3733,15
claims of negligence,unfair dismissal,3735,10
appeal against HR,discrimination,3737,14
Workplace harassment,appeal against HR,3739,10
Murder,Workplace harassment,3741,5
robbery,Murder,3743,3
dowry demands,theft,3745,3
robbery,cybercrime,3747,7
unfair dismissal,sedition,3749,14
theft,Property dispute,3751,12
cybercrime,marriage affairs,3753,10
sedition,Divorce,3755,7
Property dispute,Fraud,3757,8
Fraud,riots,3759,3
riots,claims of negligence,3761,13
marriage affairs,dowry demands,3763,7
Divorce,robbery,3765,10
claims of negligence,unfair dismissal,3767,15
appeal against HR,discrimination,3769,3
Workplace harassment,appeal against HR,3771,9
Murder,Workplace harassment,3773,11
robbery,Murder,3775,3
dowry demands,theft,3777,4
robbery,cybercrime,3779,7
unfair dismissal,sedition,3781,10
theft,Property dispute,3783,7
cybercrime,marriage affairs,3785,3
sedition,Divorce,3787,10
Property dispute,Fraud,3789,7
Fraud,riots,3791,6
riots,claims of negligence,3793,12
marriage affairs,dowry demands,3795,11
Divorce,robbery,3797,11
claims of negligence,unfair dismissal,3799,6
appeal against HR,discrimination,3801,3
Workplace harassment,appeal against HR,3803,12
Murder,Workplace harassment,3805,7
robbery,Murder,3807,7
dowry demands,theft,3809,7
robbery,cybercrime,3811,12
unfair dismissal,sedition,3813,7
theft,Property dispute,3815,4
cybercrime,marriage affairs,3817,5
sedition,Divorce,3819,6
Property dispute,Fraud,3821,4
Fraud,riots,3823,15
riots,claims of negligence,3825,12
marriage affairs,dowry demands,3827,12
Divorce,robbery,3829,8
claims of negligence,unfair dismissal,3831,14
appeal against HR,discrimination,3833,5
Workplace harassment,appeal against HR,3835,10
Murder,Workplace harassment,3837,6
robbery,Murder,3839,5
dowry demands,theft,3841,6
robbery,cybercrime,3843,7
unfair dismissal,sedition,3845,5
theft,Property dispute,3847,5
cybercrime,marriage affairs,3849,15
sedition,Divorce,3851,14
Property dispute,Fraud,3853,8
Fraud,riots,3855,4
riots,claims of negligence,3857,4
marriage affairs,dowry demands,3859,4
Divorce,robbery,3861,15
claims of negligence,unfair dismissal,3863,11
appeal against HR,discrimination,3865,11
Workplace harassment,appeal against HR,3867,15
Murder,Workplace harassment,3869,5
robbery,Murder,3871,6
dowry demands,theft,3873,13
robbery,cybercrime,3875,15
unfair dismissal,sedition,3877,6
theft,Property dispute,3879,12
cybercrime,marriage affairs,3881,3
sedition,Divorce,3883,5
Property dispute,Fraud,3885,12
Fraud,riots,3887,9
riots,claims of negligence,3889,12
marriage affairs,dowry demands,3891,7
Divorce,robbery,3893,14
claims of negligence,unfair dismissal,3895,9
appeal against HR,discrimination,3897,3
Workplace harassment,appeal against HR,3899,5
Murder,Workplace harassment,3901,3
robbery,Murder,3903,6
dowry demands,theft,3905,14
robbery,cybercrime,3907,5
unfair dismissal,sedition,3909,8
theft,Property dispute,3911,13
cybercrime,marriage affairs,3913,3
sedition,Divorce,3915,8
Property dispute,Fraud,3917,11
Fraud,riots,3919,15
riots,claims of negligence,3921,7
marriage affairs,dowry demands,3923,3
Divorce,robbery,3925,7
claims of negligence,unfair dismissal,3927,6
appeal against HR,discrimination,3929,14
Workplace harassment,appeal against HR,3931,7
Murder,Workplace harassment,3933,11
robbery,Murder,3935,6
dowry demands,theft,3937,13
robbery,cybercrime,3939,4
unfair dismissal,sedition,3941,5
theft,Property dispute,3943,14
cybercrime,marriage affairs,3945,11
sedition,Divorce,3947,10
Property dispute,Fraud,3949,12
Fraud,riots,3951,11
riots,claims of negligence,3953,15
marriage affairs,dowry demands,3955,5
Divorce,robbery,3957,4
claims of negligence,unfair dismissal,3959,3
appeal against HR,discrimination,3961,13
Workplace harassment,appeal against HR,3963,8
Murder,Workplace harassment,3965,14
robbery,Murder,3967,15
dowry demands,theft,3969,10
robbery,cybercrime,3971,5
unfair dismissal,sedition,3973,6
theft,Property dispute,3975,3
cybercrime,marriage affairs,3977,9
sedition,Divorce,3979,14
Property dispute,Fraud,3981,12
Fraud,riots,3983,12
riots,claims of negligence,3985,15
marriage affairs,dowry demands,3987,5
Divorce,robbery,3989,5
claims of negligence,unfair dismissal,3991,15
appeal against HR,discrimination,3993,14
Workplace harassment,appeal against HR,3995,13
Murder,Workplace harassment,3997,5
robbery,Murder,3999,13
dowry demands,theft,4001,9
robbery,cybercrime,4003,3
unfair dismissal,sedition,4005,4
theft,Property dispute,4007,9
cybercrime,marriage affairs,4009,5
sedition,Divorce,4011,7
Property dispute,Fraud,4013,11
Fraud,riots,4015,6
riots,claims of negligence,4017,4
marriage affairs,dowry demands,4019,9
Divorce,robbery,4021,8
claims of negligence,unfair dismissal,4023,13
appeal against HR,discrimination,4025,13
Workplace harassment,appeal against HR,4027,7
Murder,Workplace harassment,4029,10
robbery,Murder,4031,15
dowry demands,theft,4033,7
robbery,cybercrime,4035,10
unfair dismissal,sedition,4037,9
theft,Property dispute,4039,15
cybercrime,marriage affairs,4041,7
sedition,Divorce,4043,11
Property dispute,Fraud,4045,4
Fraud,riots,4047,5
riots,claims of negligence,4049,15
marriage affairs,dowry demands,4051,5
Divorce,robbery,4053,12
claims of negligence,unfair dismissal,4055,5
appeal against HR,discrimination,4057,3
Workplace harassment,appeal against HR,4059,7
Murder,Workplace harassment,4061,3
robbery,Murder,4063,12
dowry demands,theft,4065,15
robbery,cybercrime,4067,13
unfair dismissal,sedition,4069,11
theft,Property dispute,4071,14
cybercrime,marriage affairs,4073,3
sedition,Divorce,4075,11
Property dispute,Fraud,4077,10
Fraud,riots,4079,10
riots,claims of negligence,4081,14
marriage affairs,dowry demands,4083,11
Divorce,robbery,4085,8
claims of negligence,unfair dismissal,4087,15
appeal against HR,discrimination,4089,13
Workplace harassment,appeal against HR,4091,4
Murder,Workplace harassment,4093,9
robbery,Murder,4095,6
dowry demands,theft,4097,7
robbery,cybercrime,4099,3
unfair dismissal,sedition,4101,9
theft,Property dispute,4103,3
cybercrime,marriage affairs,4105,15
sedition,Divorce,4107,7
Property dispute,Fraud,4109,15
Fraud,riots,4111,10
riots,claims of negligence,4113,10
marriage affairs,dowry demands,4115,10
Divorce,robbery,4117,10
claims of negligence,unfair dismissal,4119,11
appeal against HR,discrimination,4121,7
Workplace harassment,appeal against HR,4123,12
Murder,Workplace harassment,4125,15
robbery,Murder,4127,15
dowry demands,theft,4129,4
robbery,cybercrime,4131,12
unfair dismissal,sedition,4133,3
theft,Property dispute,4135,7
cybercrime,marriage affairs,4137,6
sedition,Divorce,4139,5
Property dispute,Fraud,4141,10
Fraud,riots,4143,15
riots,claims of negligence,4145,7
marriage affairs,dowry demands,4147,7
Divorce,robbery,4149,15
claims of negligence,unfair dismissal,4151,6
appeal against HR,discrimination,4153,8
Workplace harassment,appeal against HR,4155,4
Murder,Workplace harassment,4157,13
robbery,Murder,4159,12
dowry demands,theft,4161,15
robbery,cybercrime,4163,9
unfair dismissal,sedition,4165,10
theft,Property dispute,4167,9
cybercrime,marriage affairs,4169,3
sedition,Divorce,4171,7
Property dispute,Fraud,4173,6
Fraud,riots,4175,9
riots,claims of negligence,4177,14
marriage affairs,dowry demands,4179,7
Divorce,robbery,4181,12
claims of negligence,unfair dismissal,4183,4
appeal against HR,discrimination,4185,5
Workplace harassment,appeal against HR,4187,9
Murder,Workplace harassment,4189,3
robbery,Murder,4191,4
dowry demands,theft,4193,9
robbery,cybercrime,4195,7
unfair dismissal,sedition,4197,15
theft,Property dispute,4199,14
cybercrime,marriage affairs,4201,12
sedition,Divorce,4203,11
Property dispute,Fraud,4205,4
Fraud,riots,4207,4
riots,claims of negligence,4209,9
marriage affairs,dowry demands,4211,5
Divorce,robbery,4213,3
claims of negligence,unfair dismissal,4215,15
appeal against HR,discrimination,4217,15
Workplace harassment,appeal against HR,4219,9
Murder,Workplace harassment,4221,7
robbery,Murder,4223,11
dowry demands,theft,4225,12
robbery,cybercrime,4227,3
unfair dismissal,sedition,4229,5
theft,Property dispute,4231,9
cybercrime,marriage affairs,4233,13
sedition,Divorce,4235,14
Property dispute,Fraud,4237,8
Fraud,riots,4239,3
riots,claims of negligence,4241,15
marriage affairs,dowry demands,4243,3
Divorce,robbery,4245,10
claims of negligence,unfair dismissal,4247,15
appeal against HR,discrimination,4249,14
Workplace harassment,appeal against HR,4251,4
Murder,Workplace harassment,4253,15
robbery,Murder,4255,15
dowry demands,theft,4257,10
robbery,cybercrime,4259,8
unfair dismissal,sedition,4261,8
theft,Property dispute,4263,8
cybercrime,marriage affairs,4265,13
sedition,Divorce,4267,7
Property dispute,Fraud,4269,11
Fraud,riots,4271,6
riots,claims of negligence,4273,7
marriage affairs,dowry demands,4275,10
Divorce,robbery,4277,3
claims of negligence,unfair dismissal,4279,5
appeal against HR,discrimination,4281,9
Workplace harassment,appeal against HR,4283,5
Murder,Workplace harassment,4285,5
robbery,Murder,4287,11
dowry demands,theft,4289,7
robbery,cybercrime,4291,15
unfair dismissal,sedition,4293,5
theft,Property dispute,4295,14
cybercrime,marriage affairs,4297,9
sedition,Divorce,4299,4
Property dispute,Fraud,4301,9
Fraud,riots,4303,15
riots,claims of negligence,4305,12
marriage affairs,dowry demands,4307,11
Divorce,robbery,4309,11
claims of negligence,unfair dismissal,4311,4
appeal against HR,discrimination,4313,7
Workplace harassment,appeal against HR,4315,12
Murder,Workplace harassment,4317,15
robbery,Murder,4319,7
dowry demands,theft,4321,13
robbery,cybercrime,4323,14
unfair dismissal,sedition,4325,4
theft,Property dispute,4327,12
cybercrime,marriage affairs,4329,11
sedition,Divorce,4331,6
Property dispute,Fraud,4333,3
Fraud,riots,4335,4
riots,claims of negligence,4337,4
marriage affairs,dowry demands,4339,15
Divorce,robbery,4341,13
claims of negligence,unfair dismissal,4343,6
appeal against HR,discrimination,4345,9
Workplace harassment,appeal against HR,4347,13
Murder,Workplace harassment,4349,3
robbery,Murder,4351,13
dowry demands,theft,4353,12
robbery,cybercrime,4355,5
unfair dismissal,sedition,4357,11
theft,Property dispute,4359,11
cybercrime,marriage affairs,4361,4
sedition,Divorce,4363,7
Property dispute,Fraud,4365,5
Fraud,riots,4367,7
riots,claims of negligence,4369,11
marriage affairs,dowry demands,4371,3
Divorce,robbery,4373,15
claims of negligence,unfair dismissal,4375,3
appeal against HR,discrimination,4377,11
Workplace harassment,appeal against HR,4379,8
Murder,Workplace harassment,4381,6
robbery,Murder,4383,11
dowry demands,theft,4385,13
robbery,cybercrime,4387,8
unfair dismissal,sedition,4389,12
theft,Property dispute,4391,9
cybercrime,marriage affairs,4393,3
sedition,Divorce,4395,4
Property dispute,Fraud,4397,3
Fraud,riots,4399,14
riots,claims of negligence,4401,10
marriage affairs,dowry demands,4403,6
Divorce,robbery,4405,6
claims of negligence,unfair dismissal,4407,7
appeal against HR,discrimination,4409,10
Workplace harassment,appeal against HR,4411,11
Murder,Workplace harassment,4413,14
robbery,Murder,4415,11
dowry demands,theft,4417,6
robbery,cybercrime,4419,13
unfair dismissal,sedition,4421,15
theft,Property dispute,4423,7
cybercrime,marriage affairs,4425,10
sedition,Divorce,4427,13
Property dispute,Fraud,4429,4
Fraud,riots,4431,4
riots,claims of negligence,4433,13
marriage affairs,dowry demands,4435,5
Divorce,robbery,4437,15
claims of negligence,unfair dismissal,4439,13
appeal against HR,discrimination,4441,13
Workplace harassment,appeal against HR,4443,14
Murder,Workplace harassment,4445,8
robbery,Murder,4447,4
dowry demands,theft,4449,4
robbery,cybercrime,4451,8
unfair dismissal,sedition,4453,11
theft,Property dispute,4455,3
cybercrime,marriage affairs,4457,13
sedition,Divorce,4459,14
Property dispute,Fraud,4461,15
Fraud,riots,4463,9
riots,claims of negligence,4465,12
marriage affairs,dowry demands,4467,15
Divorce,robbery,4469,11
claims of negligence,unfair dismissal,4471,11
appeal against HR,discrimination,4473,4
Workplace harassment,appeal against HR,4475,14
Murder,Workplace harassment,4477,3
robbery,Murder,4479,15
dowry demands,theft,4481,13
robbery,cybercrime,4483,14
unfair dismissal,sedition,4485,4
theft,Property dispute,4487,6
cybercrime,marriage affairs,4489,5
sedition,Divorce,4491,13
Property dispute,Fraud,4493,10
Fraud,riots,4495,6
riots,claims of negligence,4497,13
marriage affairs,dowry demands,4499,8
Divorce,robbery,4501,6
claims of negligence,unfair dismissal,4503,14
appeal against HR,discrimination,4505,12
Workplace harassment,appeal against HR,4507,11
Murder,Workplace harassment,4509,8
robbery,Murder,4511,10
dowry demands,theft,4513,8
robbery,cybercrime,4515,8
unfair dismissal,sedition,4517,15
theft,Property dispute,4519,6
cybercrime,marriage affairs,4521,6
sedition,Divorce,4523,6
Property dispute,Fraud,4525,13
Fraud,riots,4527,9
riots,claims of negligence,4529,15
marriage affairs,dowry demands,4531,9
Divorce,robbery,4533,5
claims of negligence,unfair dismissal,4535,5
appeal against HR,discrimination,4537,5
Workplace harassment,appeal against HR,4539,3
Murder,Workplace harassment,4541,7
robbery,Murder,4543,5
dowry demands,theft,4545,12
robbery,cybercrime,4547,13
unfair dismissal,sedition,4549,12
theft,Property dispute,4551,11
cybercrime,marriage affairs,4553,5
sedition,Divorce,4555,3
Property dispute,Fraud,4557,4
Fraud,riots,4559,10
riots,claims of negligence,4561,6
marriage affairs,dowry demands,4563,9
Divorce,robbery,4565,14
claims of negligence,unfair dismissal,4567,4
appeal against HR,discrimination,4569,8
Workplace harassment,appeal against HR,4571,13
Murder,Workplace harassment,4573,14
robbery,Murder,4575,7
dowry demands,theft,4577,7
robbery,cybercrime,4579,9
unfair dismissal,sedition,4581,9
theft,Property dispute,4583,9
cybercrime,marriage affairs,4585,6
sedition,Divorce,4587,5
Property dispute,Fraud,4589,11
Fraud,riots,4591,9
riots,claims of negligence,4593,7
marriage affairs,dowry demands,4595,14
Divorce,robbery,4597,12
claims of negligence,unfair dismissal,4599,7
appeal against HR,discrimination,4601,10
Workplace harassment,appeal against HR,4603,15
Murder,Workplace harassment,4605,9
robbery,Murder,4607,8
dowry demands,theft,4609,14
robbery,cybercrime,4611,14
unfair dismissal,sedition,4613,13
theft,Property dispute,4615,13
cybercrime,marriage affairs,4617,4
sedition,Divorce,4619,14
Property dispute,Fraud,4621,4
Fraud,riots,4623,10
riots,claims of negligence,4625,14
marriage affairs,dowry demands,4627,7
Divorce,robbery,4629,12
claims of negligence,unfair dismissal,4631,15
